,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002598503391542045,0.004643230071480986,0.0067925023090719,0.004678377079398754,0.006226745997175081,0.006480529971053516,0.042859592222250636,
claude-v1,0.005580564522187287,0.0034685523783284785,0.003668375738570715,0.006321695210522215,0.003815563260236797,0.003978385469565133,0.07565298478635989,
gpt-3.5-turbo,0.013098957777243663,0.012923162182317116,0.010774271785434568,0.009315801761667453,0.010874503971250674,0.010725283759937773,0.31620281332359146,
gpt-4,0.9680158233025328,0.9680833603209238,0.9676572642389732,0.9673761733838939,0.9676054937742083,0.9675787146406389,0.2226258456344616,
llama-13b,0.0018689565802842798,0.0031874717327971184,0.003294968995748826,0.002836139939206205,0.0028853660458490285,0.002776308577420153,0.07064400999978274,
vicuna-13b-v1.2,0.00883719442620998,0.0076942233141525365,0.007812616932200787,0.009471812625311462,0.008592326951280064,0.008460777581384542,0.27201475403355363,
