,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004043646076856594,0.0038035416935424788,0.00968348767059674,0.004297837820795644,0.00794305854571212,0.007871170907549229,0.0559738322228054,
claude-v1,0.0060505884677618995,0.007135637906400084,0.0030389760787406664,0.007783373336026804,0.0038240030808580506,0.0036882143576894163,0.07056708277419332,
gpt-3.5-turbo,0.011131080720771536,0.011773285443559014,0.00781099930106746,0.00909856810274625,0.009663470427236079,0.009942631219845836,0.29999526360176193,
gpt-4,0.9677899626337233,0.9680254051173255,0.9672322911153642,0.9675269520616223,0.9674684113744944,0.9675413319669979,0.1836134167472691,
llama-13b,0.0025362425201464153,0.0022653533949874914,0.006423051453651718,0.0032119642725408405,0.003713857098835923,0.003785452581119641,0.08262564787245101,
vicuna-13b-v1.2,0.008448479580740163,0.006996776444185289,0.0058111943805792664,0.008081304406268142,0.0073871994728633445,0.007171198966798012,0.3072247567815194,
