,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0024872345224846177,0.0032878848307211395,0.00582117447917362,0.00406188258812979,0.005585203157729994,0.005614765560188318,0.04180419311113273,
claude-v1,0.005201842943290186,0.0033916385304630383,0.0039517289399194615,0.006822072851966623,0.0036694404833592935,0.0036667103963408496,0.0780757715871945,
gpt-3.5-turbo,0.015152264985130413,0.01668125758787282,0.012989852121022273,0.009561769569081916,0.013576961535770316,0.013577161043514923,0.32235908337460456,
gpt-4,0.9684033192063147,0.9686656152568057,0.9681744773638292,0.9674324530283761,0.9682206204000058,0.968226874938783,0.25690308314719107,
llama-13b,0.0016472925882459867,0.0024147161806806886,0.0028959895472492466,0.0026351394490768715,0.0026258543017163355,0.0026568439485145355,0.0661107291658435,
vicuna-13b-v1.2,0.007108045754534143,0.005558887613456575,0.006166777548806193,0.009486682513368695,0.00632192012141817,0.006257644112658239,0.23474713961403354,
