,so,corr,spear,emd,kl,js,
gpt-4,0.967831,0.967597,0.967460,0.967661,0.967538,0.967463,
gpt-3.5-turbo,0.011845,0.009556,0.008279,0.010605,0.008951,0.008858,
vicuna-13b-v1.2,0.008785,0.008069,0.006372,0.008726,0.007079,0.007509,
claude-v1,0.007613,0.004044,0.003869,0.006759,0.004829,0.004915,
alpaca-13b,0.002187,0.005583,0.007590,0.003861,0.006684,0.006716,
llama-13b,0.001738,0.005152,0.006430,0.002388,0.004919,0.004539,
