,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002471580554025032,0.005321564017905271,0.0068549876532459815,0.0037747926331286796,0.00705491250489021,0.006270218629290939,0.07122663490664656,
claude-v1,0.007254287732291896,0.003894933444539386,0.003977168797593601,0.006779242810505755,0.0048903442683905325,0.0051752733016900655,0.0848292622498695,
gpt-3.5-turbo,0.0115782224453966,0.01015017904040436,0.008404901901034306,0.011573879527672795,0.00888529210601077,0.008947770047025213,0.2334418992168452,
gpt-4,0.9677983590189876,0.9677305196489149,0.9674654461168567,0.9679132020187634,0.9675320483487617,0.9675357303400925,0.15209514491223577,
llama-13b,0.0018590944669021163,0.005023509656759949,0.006232375602837864,0.0021692826164125835,0.0048353117094580384,0.004692885899057023,0.10662743455153449,
vicuna-13b-v1.2,0.009038455782396648,0.0078792941914761,0.0070651199284314965,0.007789600393516656,0.006802091062488701,0.0073781217828440765,0.35177962416286856,
