,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0027615132220541495,0.004346627302662602,0.0059150035243739066,0.003842769940084257,0.006297580454534041,0.005939174727385747,0.044715599210832145,
claude-v1,0.006891991231403654,0.004207159555544554,0.004957407635900676,0.006682747399124293,0.005374133147685444,0.005629385489576585,0.08158851922303995,
gpt-3.5-turbo,0.011061200352554895,0.012291477032517968,0.009348283215748264,0.009509471414258838,0.010367599520955121,0.009637016984646625,0.2854005108198199,
gpt-4,0.9676517739175263,0.9680214864273237,0.9674842485656561,0.9674069280920278,0.9677888709969188,0.9675740217578388,0.2039281891362478,
llama-13b,0.0019683877631228013,0.0032673583753215336,0.003922514515948492,0.0027740316648865435,0.003528799400756374,0.003420719949109198,0.07561699784172045,
vicuna-13b-v1.2,0.00966513351333821,0.007865891306629616,0.008372542542372565,0.009784051489618166,0.006643016479150179,0.007799681091443138,0.30875018376833974,
