,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004285965398243,0.004048880631361406,0.00815635945099834,0.004294276444102265,0.00769919373540741,0.008182514182116624,0.044715599210832145,
claude-v1,0.005536840916291841,0.00597282911527065,0.0031901528624497127,0.00798001092317512,0.004099056048289807,0.004126468020158888,0.08158851922303995,
gpt-3.5-turbo,0.0112647138696308,0.01145054736380995,0.008620578811262256,0.008496510278240155,0.009752653655676333,0.009406727330272452,0.2854005108198199,
gpt-4,0.9677773854975041,0.9678275219093844,0.9675133346112531,0.9674053291317203,0.9676358401987513,0.967554766704197,0.2039281891362478,
llama-13b,0.0025305576405541194,0.0023085597311955693,0.006661595999130354,0.0034754938173902077,0.004396807468656635,0.004432500665531217,0.07561699784172045,
vicuna-13b-v1.2,0.008604536677776147,0.008391661248977932,0.005857978264906322,0.008348379405371961,0.006416448893218445,0.006297023097723705,0.30875018376833974,
