,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0022119380859103098,0.004424109852254498,0.006924375728152198,0.0056725874666493726,0.00735359709249753,0.007118961341427399,0.044715599210832145,
claude-v1,0.006747154865963677,0.0031240222017492702,0.0037585464588665157,0.006841191878989893,0.004116041251175976,0.0043356282598267185,0.08158851922303995,
gpt-3.5-turbo,0.013119533190269761,0.013392115424986493,0.010510879495555093,0.00858243790500515,0.010729063473590726,0.010522566539336435,0.2854005108198199,
gpt-4,0.9680853557881862,0.9681360146396083,0.9677257545958025,0.9673314494476857,0.9677159299886514,0.9676359467334182,0.2039281891362478,
llama-13b,0.0016332216611375373,0.0031892556114063602,0.004027476559538564,0.0031477580992959075,0.0032326616898927622,0.0029796874357053004,0.07561699784172045,
vicuna-13b-v1.2,0.008202796408532456,0.007734482269995147,0.007052967162085249,0.008424575202373953,0.006852706504191747,0.007407209690285883,0.30875018376833974,
