,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002568280579429579,0.005035238077234805,0.006221093274487982,0.003964630764293834,0.006552901367367283,0.006328487367116937,0.0559738322228054,
claude-v1,0.005869591078004749,0.0040686599263338894,0.0037159217581484863,0.006756299038750483,0.004259586767163363,0.004281040040067087,0.07056708277419332,
gpt-3.5-turbo,0.013016080854484809,0.01095301848776736,0.009907267169754973,0.009890052803292972,0.00967371988800473,0.010035665566779104,0.29999526360176193,
gpt-4,0.9680608217539202,0.9676595770101127,0.9674021602290666,0.9675390192658326,0.9674816999489635,0.9675828822717505,0.1836134167472691,
llama-13b,0.002012728679747018,0.0032236176151921093,0.003441426031858666,0.0027312333868264927,0.0037150740749292057,0.0037111962563234923,0.08262564787245101,
vicuna-13b-v1.2,0.008472497054413518,0.009059888883359063,0.009312131536683416,0.009118764741003425,0.008317017953571895,0.008060728497962957,0.3072247567815194,
