,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004984965463942727,0.004760391176752548,0.00878307908419782,0.0047988069938448875,0.008340979064776165,0.007833537189792251,0.04186684332299797,
claude-v1,0.004378976330329809,0.0052274571463085005,0.002637769369231139,0.006461566896181207,0.003596566966278034,0.0036140335332701737,0.08676887501828555,
gpt-3.5-turbo,0.012330697175675098,0.011029890959100945,0.009306552508568891,0.009603199958335633,0.009815612795927929,0.010224245639011772,0.2895927744742558,
gpt-4,0.9680069610294874,0.9678034442967876,0.9675670974749396,0.9674984725781336,0.9676393798312365,0.967724751034542,0.2432670880580011,
llama-13b,0.0027835490820730426,0.0030736799058243332,0.006072362323823236,0.002857838757593388,0.004663743479380667,0.004508580770473028,0.07151752529175419,
vicuna-13b-v1.2,0.007514850918492014,0.008105136515226215,0.005633139239239363,0.00878011481591143,0.005943717862400682,0.006094851832910806,0.26698689383470553,
