,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0025358282643910186,0.0022724268870535948,0.007518678514852771,0.003132173647292982,0.004510852580257347,0.0046793888856849885,0.07122663490664656,
claude-v1,0.008897788424915235,0.008840198909766386,0.004691078966819214,0.008599656856026561,0.007059180312356302,0.006809876355630704,0.0848292622498695,
gpt-3.5-turbo,0.010604354837149282,0.01049374601734317,0.007129527741047515,0.010831879587698085,0.008888222267598441,0.009247936855702882,0.2334418992168452,
gpt-4,0.9676986922430781,0.9675835182162187,0.9673383028405849,0.9680105999388116,0.9674233538931085,0.9675550236154455,0.15209514491223577,
llama-13b,0.0018580153438639735,0.001614534897187099,0.00747373189680222,0.0031023504095537375,0.0033736311461605205,0.0035764152391043378,0.10662743455153449,
vicuna-13b-v1.2,0.0084053208866025,0.009195575072431128,0.0058486800398935826,0.0063233395606170865,0.008744759800519001,0.008131359048431486,0.35177962416286856,
