,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002354604846840651,0.0034837763445111232,0.006570920304952661,0.005688391257930997,0.0067342833704990505,0.006426868015995716,0.04186684332299797,
claude-v1,0.006278221522662716,0.0028232212568433607,0.0031871517768486905,0.005615729796795208,0.00416264892134399,0.00432064212170691,0.08676887501828555,
gpt-3.5-turbo,0.012914759824677697,0.015243507460773714,0.011178951454049766,0.009497955307708207,0.011171537634462122,0.011374125829790886,0.2895927744742558,
gpt-4,0.9680243357211133,0.9684365223903226,0.9678531957318772,0.9673774750745364,0.9678484895977559,0.9678587488467972,0.2432670880580011,
llama-13b,0.0018083358450658408,0.003079783761375664,0.004242233956636013,0.002682195747734849,0.003373178994504105,0.003052465449752548,0.07151752529175419,
vicuna-13b-v1.2,0.008619742239639735,0.006933188786173481,0.006967546775635733,0.009138252815294387,0.006709861481434836,0.006967149735956628,0.26698689383470553,
