,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002968889350692805,0.002510830025057385,0.008816404639641926,0.003710405235671958,0.005476930833851519,0.00583082183220846,0.06848264114070346,
claude-v1,0.008087645211173174,0.008388661541751333,0.003085140203191657,0.007606479110764896,0.006230510160908827,0.006223570526095406,0.08243629542780906,
gpt-3.5-turbo,0.01112452763571159,0.010297981355967076,0.007419911517062499,0.010245635608059925,0.008997698247383622,0.008809133496883462,0.2358554109061025,
gpt-4,0.9677892939507869,0.9675464920188289,0.9673096370227604,0.967711111694195,0.9675204069422328,0.9674917374329371,0.16085631448227883,
llama-13b,0.001774156792165803,0.0018343274771655048,0.008054313666186644,0.00264779199549317,0.00394879615415101,0.0040226756674730055,0.09975372717324808,
vicuna-13b-v1.2,0.008255487059469633,0.009421707581229717,0.005314592951156743,0.008078576355815029,0.007825657661472115,0.007622061044402525,0.3526156108698581,
