,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002405100347759373,0.003945674845456937,0.0067780414257542256,0.005794839476254891,0.007323127417325532,0.007431600036733587,0.04180419311113273,
claude-v1,0.0059439881043617275,0.0029129991069390673,0.0030554807049133765,0.00532861966299483,0.0033531399828578366,0.003485501927228366,0.0780757715871945,
gpt-3.5-turbo,0.013128057100389418,0.015237329011113777,0.012414234347221878,0.009205407445275956,0.011809817490997689,0.012147628067786853,0.32235908337460456,
gpt-4,0.9680175122024283,0.9683637345275364,0.9679802985762124,0.9673063840646127,0.9677939771013452,0.9678596991842684,0.25690308314719107,
llama-13b,0.0016962816071886622,0.0024493453699070637,0.003124132226559369,0.0029685812481159307,0.0026183345996675235,0.002373854130945248,0.0661107291658435,
vicuna-13b-v1.2,0.008809060637872533,0.007090917139046721,0.006647812719338725,0.00939616810274572,0.007101603407806391,0.006701716653037666,0.23474713961403354,
