,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.005498930615966866,0.0037663725964723746,0.008386187399060416,0.00428841316622332,0.006706531037124334,0.007057530552727603,0.042859592222250636,
claude-v1,0.004014210095632234,0.007283749847411879,0.0032574119446268928,0.00776056358193556,0.0037869552720927943,0.0035910067423727335,0.07565298478635989,
gpt-3.5-turbo,0.011992092528113658,0.01095716683843306,0.009459372193353738,0.009139147356004454,0.01077919237660891,0.010875706768656328,0.31620281332359146,
gpt-4,0.967901227210113,0.9677959778993707,0.9674181040869054,0.9675154462846439,0.9676967326076154,0.9676720649141118,0.2226258456344616,
llama-13b,0.0028280280470914247,0.0021697628580616547,0.004195407345413903,0.0030960652809026365,0.0034316353559319343,0.0032214517087119114,0.07064400999978274,
vicuna-13b-v1.2,0.007765511503082808,0.008026969960250131,0.007283517030639779,0.008200364330290234,0.007598953350626799,0.007582239313419568,0.27201475403355363,
