,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0040503114867488045,0.0034188320686886287,0.007124019717826896,0.003407503429671254,0.006414813946825008,0.006272918594750828,0.04739635159894981,
claude-v1,0.006377413372773464,0.008609819147918217,0.0044587209975444075,0.00826662379221753,0.005256425757952848,0.005548258857797164,0.08703454360048703,
gpt-3.5-turbo,0.010938433860085018,0.00986890978621275,0.007750478228599054,0.00969628659123493,0.00963185612324767,0.009400056936517543,0.28214958447953586,
gpt-4,0.9677199771187973,0.9674747022751758,0.9673891895214414,0.9675778328448136,0.9676360542100695,0.9675904005143555,0.20119574917903346,
llama-13b,0.0022511510545613466,0.0016121687120808166,0.0066356064024027175,0.0025712077396138544,0.003944930287601185,0.0039027825962241313,0.07821791904695867,
vicuna-13b-v1.2,0.008662713107034068,0.009015568009923742,0.006641985132185484,0.008480545602448916,0.007115919674303926,0.007285582500354916,0.3040058520950351,
