,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002291944503559724,0.005957623446962228,0.008305685984329342,0.004980185935159677,0.008239139996820587,0.008348515833307854,0.0559738322228054,
claude-v1,0.006480851693604066,0.0036291873810799795,0.0035766734432581327,0.006932495254588844,0.004034709777663959,0.004171635971488561,0.07056708277419332,
gpt-3.5-turbo,0.01261643879502242,0.011385691085660617,0.009631806888249331,0.009695839796618953,0.009674195686071708,0.00969388008514716,0.29999526360176193,
gpt-4,0.9679630452822546,0.9678320580461393,0.9674935908079232,0.967585093330667,0.9674758933164909,0.9674382070756602,0.1836134167472691,
llama-13b,0.0018036903441281348,0.0035493430952401625,0.0040787850149892665,0.0028048952623868023,0.0035247008566876795,0.0031491471164867973,0.08262564787245101,
vicuna-13b-v1.2,0.008844029381431086,0.007646096944917853,0.00691345786125076,0.00800149042057858,0.0070513603662652625,0.007198613917909264,0.3072247567815194,
