,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0054613726217254376,0.004208705761014293,0.006791475186512554,0.0039713345527346506,0.0070791599152054945,0.006928190328205815,0.04180419311113273,
claude-v1,0.0034947531438362053,0.006605522198072435,0.003498811788807427,0.007937847894773952,0.003675671788448737,0.0034476393225528635,0.0780757715871945,
gpt-3.5-turbo,0.013171463070617182,0.012045794565074087,0.012180986166193345,0.009457181452561872,0.012132836650732764,0.012614182894263802,0.32235908337460456,
gpt-4,0.9681521442875047,0.9680617036942369,0.9681254116287865,0.9675627443197352,0.9680432902964899,0.9681296108332983,0.25690308314719107,
llama-13b,0.0029557568420337512,0.0022419316908253075,0.004014947663176612,0.0028370680622493575,0.0033737811565542055,0.0033849521202483695,0.0661107291658435,
vicuna-13b-v1.2,0.006764510034282686,0.006836342090776907,0.005388367566523401,0.00823382371794496,0.0056952601925688824,0.005495424501430832,0.23474713961403354,
