,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004731432624763591,0.003996294048468896,0.008508022017486128,0.003974949410405969,0.007595315322049804,0.007720131456830338,0.04739635159894981,
claude-v1,0.006089023939088846,0.006541415456839468,0.00312865167049506,0.008459979961957029,0.004862904767561324,0.004732879063881619,0.08703454360048703,
gpt-3.5-turbo,0.010825480983052579,0.011244443757778973,0.008738243576409736,0.009591963812421592,0.00933107891769891,0.009215816659365482,0.28214958447953586,
gpt-4,0.9677480741753468,0.9678707324739875,0.9675079134257034,0.9676074378711333,0.967571116247799,0.9675357516246356,0.20119574917903346,
llama-13b,0.0025082401533498386,0.002492098773708865,0.0063799703207834905,0.002574050711806237,0.004161422124265779,0.004234133402238768,0.07821791904695867,
vicuna-13b-v1.2,0.008097748124398346,0.007855015489216383,0.005737198989122307,0.00779161823227587,0.006478162620625212,0.006561287793048276,0.3040058520950351,
