,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0026746983656395352,0.005769117942655954,0.006857642868807297,0.0037235236047742206,0.007011270193087861,0.006853012934798866,0.07122663490664656,
claude-v1,0.00814443087013307,0.005070424321690015,0.005097549744028467,0.007749748293715476,0.006179958170252961,0.005973810222304389,0.0848292622498695,
gpt-3.5-turbo,0.01016695510757891,0.009122729468667507,0.008134504415150066,0.01059356355028088,0.0076963738243203015,0.007875338724162588,0.2334418992168452,
gpt-4,0.9675575472295389,0.9675379944379829,0.9674376585939893,0.9678304993607193,0.9671841322272777,0.9672044829524471,0.15209514491223577,
llama-13b,0.0021319020439845462,0.004603704793503599,0.005611806223811721,0.002662508008534256,0.004011043587218536,0.003976520656171578,0.10662743455153449,
vicuna-13b-v1.2,0.009324466383125044,0.007896029035499918,0.00686083815421312,0.007440157181975937,0.007917221997842543,0.008116834510115634,0.35177962416286856,
