,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.005762069965522881,0.005146305192767832,0.008722837147498273,0.005937748461287658,0.008443748752903695,0.008907464826586178,0.04180419311113273,
claude-v1,0.003604918855390585,0.005009488810752064,0.0025666204128033756,0.006424239236331045,0.0030166827662775754,0.002995718278186855,0.0780757715871945,
gpt-3.5-turbo,0.012030934992200775,0.011793195585986072,0.010417392808283426,0.009114542887004059,0.010955418239777132,0.010842814706038914,0.32235908337460456,
gpt-4,0.9679470237470916,0.9679829165758145,0.9677290155217029,0.9674642665722234,0.9677207263338963,0.9676769423558613,0.25690308314719107,
llama-13b,0.0032773974881281785,0.002930437645961677,0.005082100536378982,0.0031533889180152402,0.0036648314803352316,0.003571834822143111,0.0661107291658435,
vicuna-13b-v1.2,0.007377654951665919,0.0071376561887177455,0.005482033573333132,0.007905813925138597,0.006198592426810124,0.006005225011183706,0.23474713961403354,
