,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0026041808902497084,0.004653214785540096,0.006224160176840247,0.00381257799129331,0.007354898670450109,0.006785257931892331,0.06848264114070346,
claude-v1,0.007995748032868458,0.005089942493326989,0.00527882207132527,0.007741616903299779,0.005707720745174828,0.005995336633784627,0.08243629542780906,
gpt-3.5-turbo,0.010166902406395352,0.009743156477225743,0.008337136550286988,0.010464020634582195,0.007974711652352605,0.008092933608941283,0.2358554109061025,
gpt-4,0.9675706453866979,0.9676882227395012,0.967446524118658,0.9677911487679546,0.9672458491719709,0.9672098611360378,0.16085631448227883,
llama-13b,0.0023096291930638116,0.004735820246482663,0.005260116257982057,0.0026216253495015894,0.004110883291452049,0.0036058592365294465,0.09975372717324808,
vicuna-13b-v1.2,0.009352894090724815,0.008089643257923237,0.007453240824907574,0.007569010353368526,0.00760593646859963,0.008310751452814385,0.3526156108698581,
