,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002972852200430186,0.002446342976118283,0.008254477057044594,0.0033347545146041125,0.004764122287214175,0.00522699651577102,0.07122663490664656,
claude-v1,0.008033560318355365,0.00843241237547057,0.0034475835523620235,0.00769149948441011,0.005885941041618066,0.005677566213027243,0.0848292622498695,
gpt-3.5-turbo,0.01094168700514493,0.010597132390519142,0.007419335191152688,0.011856834528765943,0.010254616704458767,0.009743946242570148,0.2334418992168452,
gpt-4,0.9677153669247028,0.9675929016047355,0.9673133360731379,0.9680638260307949,0.9677276887934495,0.9676537482498421,0.15209514491223577,
llama-13b,0.0016971845881139753,0.0016325715721668432,0.007705528540464191,0.0022232980895315036,0.003432312708509169,0.0038743212029510475,0.10662743455153449,
vicuna-13b-v1.2,0.008639348963252528,0.00929863908098966,0.00585973958583879,0.006829787351893523,0.007935318464750277,0.007823421575838584,0.35177962416286856,
