,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002683643671539038,0.004244006700829578,0.00599788920295555,0.005019569266370103,0.006269825160835579,0.006176198944863806,0.04739635159894981,
claude-v1,0.006910762098707726,0.004400985415694886,0.0053319889127851775,0.008593435190868528,0.005946966055710993,0.005837822878872306,0.08703454360048703,
gpt-3.5-turbo,0.011089145396159492,0.011185719337665009,0.00903649362558557,0.009038897725378468,0.009086064313400796,0.009575993564209063,0.28214958447953586,
gpt-4,0.9676261969929707,0.9678927048929293,0.9675289105264983,0.9674343433357406,0.9675065731165788,0.9675806594894235,0.20119574917903346,
llama-13b,0.0018372914181838131,0.004152971564611664,0.004434856438973019,0.002131604481746171,0.003682081216717102,0.003353513708212766,0.07821791904695867,
vicuna-13b-v1.2,0.009852960422439218,0.008123612088269599,0.007669861293202264,0.007782149999896133,0.007508490136756578,0.007475811414418592,0.3040058520950351,
