,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004562031852105815,0.0031063740568181802,0.007028404643833921,0.0033982879826813515,0.006149399256697102,0.006348704597436352,0.044715599210832145,
claude-v1,0.005928392288844172,0.009123860982388873,0.0044963944310118355,0.00791503437912652,0.005764824565807111,0.005653790400883143,0.08158851922303995,
gpt-3.5-turbo,0.010259295596776448,0.010226713564596295,0.008412107060701186,0.0092345692771855,0.009603896354757634,0.009202713781786232,0.2854005108198199,
gpt-4,0.9675597300840361,0.9676274326057307,0.9674571613442935,0.9675013165383224,0.9676353156905145,0.9675262900183883,0.2039281891362478,
llama-13b,0.00257571740717904,0.0017099631415929276,0.005637915603340545,0.0031253882999240598,0.003683975302558603,0.0037785136900313062,0.07561699784172045,
vicuna-13b-v1.2,0.009114832771058545,0.008205655648873133,0.0069680169168190274,0.00882540352276015,0.007162588829665171,0.007489987511474754,0.30875018376833974,
