,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.002237894469783624,0.005586606612549488,0.007513801699296228,0.003982680257629455,0.006785530983774471,0.006718383449883634,0.06848264114070346,
claude-v1,0.007570162588463432,0.004101156120702225,0.003884766251249143,0.006747917306615805,0.004724262258224526,0.004942326714255963,0.08243629542780906,
gpt-3.5-turbo,0.011786948358979229,0.009635487379056007,0.008411503338138183,0.010649669363460146,0.00891495932646886,0.008796087613103265,0.2358554109061025,
gpt-4,0.9678484454489428,0.9676315707120989,0.9674948263394757,0.9677074209278004,0.9675261147967581,0.9674556373682829,0.16085631448227883,
llama-13b,0.0017471806314005422,0.005093014617365884,0.006383777910366765,0.0024117996168305984,0.0049333571051858515,0.004554236477481826,0.09975372717324808,
vicuna-13b-v1.2,0.008809368502430522,0.007952164558227403,0.006311324461473951,0.008500512527663687,0.007115775529588153,0.0075333283769923555,0.3526156108698581,
