,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0023120570066133502,0.003918619367855867,0.005328373095300293,0.004743358813263912,0.005598736150879596,0.005368406967783717,0.04186684332299797,
claude-v1,0.005954507403349429,0.003932027749745007,0.004166048491430417,0.007145896055460152,0.004792148851560517,0.004919080466648421,0.08676887501828555,
gpt-3.5-turbo,0.013342215466205346,0.013661895737118608,0.011856317484413554,0.00902774677891044,0.011845671297135821,0.011933456517673944,0.2895927744742558,
gpt-4,0.9681103427136953,0.9683396317785478,0.9680089868072735,0.967323180771041,0.9680295873398818,0.9679946694617888,0.2432670880580011,
llama-13b,0.0019060157249123383,0.0034798695296119763,0.0035704876287645697,0.0024797313578635623,0.003156599547151238,0.0027891804690306026,0.07151752529175419,
vicuna-13b-v1.2,0.008374861685224057,0.006667955837120696,0.007069786492817516,0.009280086223461072,0.006577256813391176,0.006995206117074466,0.26698689383470553,
