,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0025584094148090385,0.004186160077163113,0.007105597196980255,0.005112855904526518,0.007083279465954405,0.0071085940195157364,0.04739635159894981,
claude-v1,0.007072149983731742,0.0037640557947088626,0.0036529250287749403,0.008344805285769087,0.005396066223143961,0.005138210318890878,0.08703454360048703,
gpt-3.5-turbo,0.011611067869122306,0.01291241938113221,0.010405427647209661,0.008593673771957267,0.00982854333901314,0.009853143411794149,0.28214958447953586,
gpt-4,0.9677753520148876,0.9681781047068164,0.9677478747322057,0.967355680110781,0.9676055356652078,0.9675444741978718,0.20119574917903346,
llama-13b,0.0017720504275006246,0.0036526318348511695,0.004406558201520182,0.002548952577530167,0.003177852763325073,0.0029637599240208787,0.07821791904695867,
vicuna-13b-v1.2,0.00921097028994863,0.007306628205328258,0.006681617193309325,0.00804403234943584,0.00690872254335557,0.007391818127906429,0.3040058520950351,
