,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0024972735810855923,0.0022683550442661174,0.007737907705129903,0.003259556345318171,0.005277105823273506,0.005308999624828458,0.06848264114070346,
claude-v1,0.008783682973627074,0.008663481369557028,0.0043005381720899885,0.007742104765728539,0.006706387109983868,0.006172281015218951,0.08243629542780906,
gpt-3.5-turbo,0.010771258484604784,0.011054988921262176,0.007200322004685742,0.010619800786702284,0.009180932782340822,0.009435791822796448,0.2358554109061025,
gpt-4,0.9677488928399376,0.967723499282351,0.9673013650566706,0.9679185986195693,0.9675534191707182,0.9675496349439173,0.16085631448227883,
llama-13b,0.0019366047795249287,0.0015766395774672506,0.007335136625992247,0.003301710905447825,0.003552650906995199,0.0034363111495704394,0.09975372717324808,
vicuna-13b-v1.2,0.008262287341219986,0.008713035805096338,0.0061247304354314636,0.007158228577233748,0.007729504206688481,0.008096981443668499,0.3526156108698581,
