,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.0023210281165397333,0.005105572682586065,0.007325335828563434,0.005130843100354424,0.007634319868886903,0.007807435251095735,0.042859592222250636,
claude-v1,0.006230381373825062,0.0031352700119000477,0.0029631577703931444,0.006006519509615893,0.0036249539150366244,0.0037132392993883515,0.07565298478635989,
gpt-3.5-turbo,0.013039242419461725,0.013267150673852663,0.011894626404820861,0.00900932676016529,0.01098338398766709,0.010839824943391089,0.31620281332359146,
gpt-4,0.9680387208824841,0.9681580719120532,0.9678627363635902,0.967272117498917,0.9676929005988257,0.9676272911292977,0.2226258456344616,
llama-13b,0.0017657106964032744,0.0032520820560366062,0.0032029563653070835,0.0028631118684753778,0.0030377623558288354,0.002796039683116703,0.07064400999978274,
vicuna-13b-v1.2,0.008604916511286151,0.007081852663571533,0.0067511872673253585,0.00971808126247213,0.007026679273754859,0.007216169693710393,0.27201475403355363,
