,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004372491763784981,0.003046602894201059,0.007448649522020304,0.003793424327736911,0.005893738953045865,0.006039331561417144,0.0559738322228054,
claude-v1,0.0053288581969937205,0.008050752414394869,0.0033833042598575766,0.007903572255329346,0.0042201761400562044,0.004179372580083386,0.07056708277419332,
gpt-3.5-turbo,0.011006097414408028,0.011057310924202562,0.008844599011027344,0.008998860460696893,0.010409381420942198,0.010188709349134573,0.29999526360176193,
gpt-4,0.9676493600280324,0.9678041966468608,0.9672811737848843,0.9674431177390567,0.9677289695038143,0.9676531984055339,0.1836134167472691,
llama-13b,0.002384806521096977,0.0019309801973731698,0.004570765707328421,0.0030539283884519534,0.004090661442370049,0.004017565327633932,0.08262564787245101,
vicuna-13b-v1.2,0.009258386075683843,0.008110156922967618,0.008471507714881862,0.008807096828728192,0.007657072539771461,0.007921822776197138,0.3072247567815194,
