,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.004552258837656287,0.0036739702742513082,0.006863837930398652,0.0037352376621131284,0.006302950403785342,0.006161186908760665,0.04186684332299797,
claude-v1,0.00493626432695489,0.007932272916788321,0.0036565416337371415,0.0072115534681888305,0.004712116881078891,0.004516085126410525,0.08676887501828555,
gpt-3.5-turbo,0.012640050676058159,0.011210088653338057,0.010372361408030075,0.010337253312489334,0.011286086143523295,0.011611624724226853,0.2895927744742558,
gpt-4,0.9681346758873921,0.967862019723245,0.9678215415711832,0.9677239123241633,0.9679663958992123,0.9679893497164664,0.2432670880580011,
llama-13b,0.0027725620260618733,0.0018275495341737238,0.004997282719655588,0.0027935568308370406,0.0035676570990625447,0.0033589659041644336,0.07151752529175419,
vicuna-13b-v1.2,0.0069641882458767205,0.007494098898203587,0.006288434736995428,0.008198486402208455,0.00616479357333762,0.0063627876199710935,0.26698689383470553,
