,so,corr,spear,emd,kl,js,surprisal,
alpaca-13b,0.00559622494838001,0.0048422121623656585,0.009106467352585792,0.005121449225542477,0.008311847073755192,0.00833355646501569,0.042859592222250636,
claude-v1,0.004145317248474563,0.005731601093020703,0.0025597629652964796,0.006509532305571425,0.0033293533899591537,0.0032173032080643534,0.07565298478635989,
gpt-3.5-turbo,0.012293071230684299,0.011338467380854159,0.010201161821434815,0.008824064989101961,0.010624376726163592,0.010679431741236593,0.31620281332359146,
gpt-4,0.9679970834693981,0.9678787357874422,0.9676489637041151,0.9673425780709775,0.9677090590644443,0.9676965107225771,0.2226258456344616,
llama-13b,0.0027860504233249623,0.0026302632032449776,0.004924082653014259,0.0031919397163628627,0.00389199383763722,0.0038128741867729647,0.07064400999978274,
vicuna-13b-v1.2,0.007182252679737969,0.007578720373072142,0.005559561503553509,0.00901043569244379,0.006133369908040535,0.006260323676333396,0.27201475403355363,
